# C name -> luce-js name, for every quickjs.c function whose name changes.
__async_func_free async_func_free_raw
JS_NewAtomString js_new_atom_string
JS_NewAtomUInt32 js_new_atom_uint32
JS_NewBigInt64 js_new_bigint64
JS_NewBigUint64 js_new_big_uint64
JS_NewCConstructor js_new_c_constructor
JS_NewCFunction2 js_new_c_function2
JS_NewCFunction3 js_new_c_function3
JS_NewCFunctionData js_new_c_function_data
JS_NewClass js_new_class
JS_NewClass1 js_new_class1
JS_NewClassID js_new_class_id
JS_NewCModule js_new_c_module
JS_NewContext js_new_context
JS_NewContextRaw js_new_context_raw
JS_NewDate js_new_date
JS_NewError js_new_error
JS_NewModuleValue js_new_module_value
JS_NewObject js_new_object
JS_NewObjectClass js_new_object_class
JS_NewObjectFromShape js_new_object_from_shape
JS_NewObjectProto js_new_object_proto
JS_NewObjectProtoClass js_new_object_proto_class
JS_NewObjectProtoClassAlloc js_new_object_proto_class_alloc
JS_NewObjectProtoList js_new_object_proto_list
JS_NewPromiseCapability js_new_promise_capability
JS_NewRegexp js_new_regexp
JS_NewRuntime js_new_runtime
JS_NewRuntime2 js_new_runtime2
JS_NewStringLen js_new_string_len
JS_NewSymbol js_new_symbol
JS_NewSymbolFromAtom js_new_symbol_from_atom
JS_NewTypedArray js_new_typed_array
JS_NewUint8ArrayCopy js_new_uint8_array_copy
JS_NewUTF32String js_new_utf32_string
js_number___toInteger js_number__to_integer
js_number___toLength js_number__to_length
js_number_isFinite js_number_is_finite
js_number_isInteger js_number_is_integer_builtin
js_number_isNaN js_number_is_na_n
js_number_isSafeInteger js_number_is_safe_integer
js_number_toExponential js_number_to_exponential
js_number_toFixed js_number_to_fixed
js_number_toPrecision js_number_to_precision
js_number_toString js_number_to_string
js_number_valueOf js_number_value_of
JS_NumberIsInteger js_number_is_integer
JS_NumberIsNegativeOrMinusZero js_number_is_negative_or_minus_zero
js_object___defineGetter__ js_object__define_getter_
js_object___lookupGetter__ js_object__lookup_getter_
js_object_defineProperties js_object_define_properties_builtin
js_object_defineProperty js_object_define_property
js_object_fromEntries js_object_from_entries
js_object_get___proto__ js_object_get__proto_
js_object_getOwnPropertyDescriptor js_object_get_own_property_descriptor
js_object_getOwnPropertyDescriptors js_object_get_own_property_descriptors
js_object_getOwnPropertyNames js_object_get_own_property_names
js_object_getOwnPropertySymbols js_object_get_own_property_symbols
js_object_getPrototypeOf js_object_get_prototype_of
js_object_groupBy js_object_group_by
js_object_hasOwn js_object_has_own
js_object_hasOwnProperty js_object_has_own_property
js_object_isExtensible js_object_is_extensible
js_object_isPrototypeOf js_object_is_prototype_of
js_object_isSealed js_object_is_sealed
js_object_preventExtensions js_object_prevent_extensions
js_object_propertyIsEnumerable js_object_property_is_enumerable
js_object_set___proto__ js_object_set__proto_
js_object_setPrototypeOf js_object_set_prototype_of
js_object_toLocaleString js_object_to_locale_string
js_object_toString js_object_to_string
js_object_valueOf js_object_value_of
JS_ObjectDefineProperties js_object_define_properties
JS_OrdinaryIsInstanceOf js_ordinary_is_instance_of
js_parseFloat js_parse_float
js_parseInt js_parse_int
JS_ParseJSON js_parse_json
JS_ParseJSON2 js_parse_json2
JS_ParseJSON3 js_parse_json3
JS_PreventExtensions js_prevent_extensions
js_print_value js_print_value_rec
JS_PrintValue js_print_value
JS_PrintValueInternal js_print_value_internal
JS_PrintValueRT js_print_value_rt
JS_PrintValueSetDefaultOptions js_print_value_set_default_options
js_promise_withResolvers js_promise_with_resolvers
JS_PromiseResult js_promise_result
JS_PromiseState js_promise_state
JS_ReadArray js_read_array
JS_ReadArrayBuffer js_read_array_buffer
JS_ReadBigInt js_read_bigint
JS_ReadDate js_read_date
JS_ReadFunctionBytecode js_read_function_bytecode
JS_ReadFunctionTag js_read_function_tag
JS_ReadModule js_read_module
JS_ReadObject js_read_object
JS_ReadObjectAtoms js_read_object_atoms
JS_ReadObjectRec js_read_object_rec
JS_ReadObjectTag js_read_object_tag
JS_ReadObjectValue js_read_object_value
JS_ReadSharedArrayBuffer js_read_shared_array_buffer
JS_ReadString js_read_string
JS_ReadTypedArray js_read_typed_array
js_reflect_deleteProperty js_reflect_delete_property
js_reflect_ownKeys js_reflect_own_keys
js_reflect_setPrototypeOf js_reflect_set_prototype_of
js_regexp_get_lastIndex js_regexp_get_last_index
js_regexp_set_lastIndex js_regexp_set_last_index
js_regexp_Symbol_match js_regexp_symbol_match
js_regexp_Symbol_matchAll js_regexp_symbol_match_all
js_regexp_Symbol_replace js_regexp_symbol_replace
js_regexp_Symbol_search js_regexp_symbol_search
js_regexp_Symbol_split js_regexp_symbol_split
js_regexp_toString js_regexp_to_string
